##ana of NCBI 16S Microbial Blast Database
##use NCBI Taxonomy Database as a reference
##gi number 2 taxid
##auther: Ke Zhang
##data: 20180725
#gi	taxid
636558506	2100
645321090	1002526
672238940	558151
219846389	1238
343205884	472569
645322533	1894
631252472	382
645319823	1165090
636560035	285557
645320711	879276
645320186	696536
631251716	644221
631252234	1132509
219878445	1764
694190099	1356
444303896	291112
558508574	649008
343205889	456490
310974955	1383
444303954	84112
566085271	930124
586661604	254406
444439546	362242
645322077	2750
645321517	1380600
645320383	1556
310975256	1071
631250850	83291
310975260	38301
631251969	195709
645322124	644
559795398	102684
265678299	84634
636559338	68185
559795292	42448
631253055	442899
254971327	12915
219846460	55205
645319819	943830
343202287	410837
219857584	186280
343204416	371036
265678544	202950
631250771	714136
343202570	655813
631251348	33
343198962	441151
631252164	1010611
219846922	33942
636558680	548
631251058	66869
265678858	1522
631251426	398694
645321094	1010
219846829	65552
343200536	53446
219857237	69322
631250978	232991
219857625	1781
645321763	827
265679048	292800
219878178	70856
343206380	44749
645320998	342113
566085349	1005926
645320749	988946
566085377	1017018
219857529	1197906
636558961	404875
631252899	100
444303980	1116231
566085152	1162980
631252919	134536
343205825	447595
636558561	86958
254971250	1132509
219846136	225051
672238958	556055
631253177	1285191
343205726	418707
343198732	334424
566085640	1280847
636560107	985008
659365043	141
219846561	59405
636558839	1778
219878316	167645
343198597	273032
631251880	454155
631251427	400775
636559560	1914
636558380	77608
636560625	37915
219857468	111519
636559247	120044
265678516	158890
485099081	1171373
645320682	862135
631251600	547188
645319898	652943
219857475	114881
444439729	2734
631252291	29284
343202701	291184
631251056	132473
636558535	797114
343201192	146817
343202265	399736
343202679	286152
343200989	493381
343206248	28445
343202241	391736
636558576	525904
444303914	552810
631251968	759811
444304148	110539
586661632	1690
343200975	485448
265678300	451807
343201751	365339
636559866	293073
631252499	80880
265678711	301148
343203883	363630
636559029	1136497
631251084	67332
343201590	2350
559795172	266009
343200105	1467
343201698	340146
559795364	366650
631251223	97398
254971245	263906
343202439	71280
310975252	35760
631252729	1139219
636559718	285566
265678508	886
645320999	60549
636559456	358
636560300	515489
343201358	171685
631251379	68180
310974904	220685
343201771	29534
645319853	1368418
566084854	553636
636560206	501592
444303864	36855
343205875	453963
631253174	1285191
219846095	217204
645319721	1237149
265678869	33924
631251855	716817
485099042	466153
343201290	113570
636560510	563996
645319750	181662
343203038	340345
444439435	335541
636558946	379597
343198926	140100
636560751	879243
343206343	36807
343200605	314092
645321366	1191523
444439488	375286
444439627	2296
631252444	180194
631252579	86668
343200601	311231
343201478	246796
566085110	755169
343205855	189
343203980	365616
343205752	428031
343202523	722
507148106	436308
444304259	110500
645322164	1625
343201640	307124
636559525	44252
219857567	164114
566085043	680378
699005425	1380430
343198802	362523
228721486	60890
631253105	1114878
219857489	1753
343200468	284033
558508633	684663
219846648	43677
672239038	1202767
265678715	238991
645321121	104097
265678600	103618
645320645	860790
631251371	363868
343200674	360185
631251027	139021
566085194	797020
631252111	349094
645322002	39844
645321782	29545
219857242	71152
645322565	29347
645320452	112901
645320169	689768
343199038	459472
695131928	58136
219846567	33887
559795299	545
631252723	288426
636558929	300020
661903062	990933
265678590	90729
636559769	1206725
343206230	2075
219857450	102109
343205947	487316
219846944	53388
645322292	33909
659364664	302406
631251069	53447
219846214	262006
636559953	1226759
645321263	1126831
219878144	76112
219857150	161354
631253032	173990
343206003	529703
343202474	634498
265678588	82993
265678919	2746
636559445	33029
645319712	151781
636559433	7
645322599	35518
636560409	37487
343206195	190975
645321158	38307
631250899	104102
343200586	308116
636560604	575194
343202315	425511
343206357	34011
343200804	393251
343202720	293050
645321938	46470
219857108	104268
343202259	396056
343200715	369940
343200750	373890
507148164	883062
631251254	68184
631250942	113569
672238971	1511731
444439524	295405
631251106	66875
343202293	413713
645320628	767452
645320808	882452
636560758	648753
645319782	83985
631252883	45495
219846387	126333
645321875	722
645320190	699437
343198444	238800
636558630	69360
636560233	511487
631253059	472055
265678396	1031753
343198455	920
636559421	96345
343202362	459347
631251703	762983
343205909	480036
636560347	1295382
219857285	81425
566085463	1101373
444303999	262724
219857458	103891
631252816	213419
219846277	42236
444303862	33996
219846603	37930
343200925	450798
343201137	115781
343200399	1943
219846244	28220
219857549	151783
631251148	67258
631251827	1218080
636559788	393090
631251281	97400
672238858	299262
631251284	284041
343198721	331618
219857557	172371
343201074	2026
343202707	291191
631252571	59893
636558568	160487
631251630	571912
631252547	1457
310975247	82996
507148144	73141
645320533	488
631252601	45462
265678701	225988
566085001	655607
636559262	1096091
219857270	75588
444304273	1127134
645321881	1071947
631252065	926357
645322550	47770
636558992	304
444304170	1048260
645321956	45663
219846945	29405
636558495	90245
444303811	243232
699005369	1136073
645319957	660520
219846583	37624
631250936	1868
645321703	39122
265678472	115783
566085475	1124188
645320476	112900
444303810	1175445
631253218	477
645321243	29459
636558676	43992
631252009	1236514
265678966	43674
343198803	362520
444304220	143361
343203006	330734
636558954	1123365
343200296	51101
631250761	46507
343201598	288995
219878329	158898
343201044	154981
566085172	752139
343205398	570835
806984335	70771
545589056	826
219846336	934
343201628	76832
343200966	478738
470467018	292414
444439656	427923
265678801	249265
343198712	330835
636558745	162160
566085406	1051626
343199082	57704
699005439	1457250
219857561	156453
566085206	910542
343202971	1132509
631253216	1185649
672239106	1350398
631250935	122358
645322370	28028
485099045	44930
631251208	68274
343200426	67370
645319797	937254
343200156	116087
219846485	60036
631252003	870242
343201319	29376
219878234	157838
631252076	762983
645321433	72556
343202337	480391
636559567	47479
219846428	47988
636560120	470784
636560260	505353
219846069	175306
631252462	2121
631252208	89584
566085119	531966
265678616	121277
645319953	660515
631251460	881
254971247	381852
631251313	54571
310975071	246613
343205922	472963
343205867	453837
219846924	1185649
343198529	28124
219857471	120957
631250757	1074
645319906	95162
636558543	398626
343206107	982
219846665	1293054
636560839	674054
631251549	163605
343200323	263910
444304111	28118
343199090	518897
645321295	1650
631251321	68246
645320747	988938
219846789	188
343205915	471575
343201354	164332
645322080	1852
219846672	46187
253680764	191389
645321157	28448
343200653	351091
636560334	545537
343200472	284043
645321098	1203599
636559608	332589
645322411	411477
645322468	35752
254971253	69540
343201676	332158
695134885	421629
343202653	987045
645322504	53463
631252530	28212
631252739	155617
559795338	376165
631253006	392014
631252755	192387
645322450	46186
343200764	379071
636559273	319709
343202348	488730
631251418	81569
645320666	1454006
343200279	224999
631251339	299583
602269318	663
645322239	29374
343202269	576610
343202844	29304
310974933	1307447
444303857	266834
566085250	1004279
636559444	33034
566085392	1048331
631252777	320497
219846698	53372
507147996	886882
645319885	222805
631252439	33051
219846836	53400
636559998	478807
485099106	1208918
566085647	1285928
343205678	1121115
636558513	165807
631252994	1215104
343200613	319236
559795214	39482
343198734	335476
645321900	1044
631253089	484498
645321810	33038
310975209	43655
566085579	1204554
343201731	357999
631252244	302484
636560482	90062
566085217	874266
645321428	80869
631251770	663608
343200133	1349
566085617	1442599
636559675	760570
265678754	207243
631251279	47762
636560564	586413
636560176	491951
224581421	195749
636559294	271417
343200858	409290
672239039	1211819
343205700	414049
219878414	200991
631251462	254784
636558547	215
343201098	43992
631251930	36809
659364643	1427356
343200908	439699
444304151	33034
631252357	431306
636560158	475069
219878413	200905
343200230	1004
343202599	265726
219846776	55085
631252791	1458
645322222	28088
265678854	40519
343203022	340680
343205916	1231186
645320055	671077
631251608	553088
343206353	89969
631252737	112904
636560855	571932
631251068	42237
566084970	946677
444303858	117207
645322263	673
343198696	321895
636559188	1333847
645322015	89401
219846879	82806
343200088	89154
631250767	576117
219846052	155866
602266995	2423
265678550	197345
219857424	93973
254971310	392018
631252283	409316
219857574	159292
343198652	307251
672238986	943673
559795240	90242
631253023	198815
343202740	1121374
343204604	374858
444439740	330922
566085588	29497
219846239	29530
631253068	472056
219846684	29443
699005398	1330330
659365205	49338
219846718	47493
265678384	67826
636559209	1219060
645321184	248551
559795115	1852
631253078	525640
444303808	242619
559795226	1233
659364548	575200
219846649	31943
265678995	143495
699005428	1396826
444439395	452638
636558944	135461
636560578	33904
343206158	803
444439428	1133849
636560424	550448
636558529	95149
631253018	75612
631252001	1527
343201294	46179
219857613	178355
343204900	1920
254971293	619593
636559805	35
343200251	200618
631253004	437507
219846540	89584
310975238	69221
219856893	86333
636559034	768066
444439635	218497
507148044	106590
343202928	46679
636558385	58107
219857114	1868
219846706	48727
219857174	206403
343200349	69962
265678479	121726
566085494	1138822
631251795	499548
631252528	998
343200203	46240
636559837	282199
343199139	523848
444304017	182640
444439596	218491
636558537	797114
219857251	71546
631252894	1570
507148025	1249531
645319598	1223502
310974968	58123
343200862	412687
636559391	66894
343200771	381829
566085357	1005945
559795273	38
265678532	155077
343201447	225848
631251128	67338
343204560	375541
343200983	490092
507148125	84377
343202761	301092
254971249	1230459
645320873	1002227
636560195	484088
343198711	326523
631253012	121608
343202557	146021
694190101	1354
636560477	560080
265678603	108028
343205941	483545
636560845	556534
566085046	679319
631251270	68270
636558544	148449
566085201	866565
219857652	189382
631252630	59845
265678352	228602
566085187	861865
631253184	1286186
343202880	67377
444303812	837
636559515	628
343201651	340021
343202314	571254
343201094	29389
636560165	476552
343205871	452982
645320286	743009
672239109	1509241
444303967	53635
219857409	93063
636559573	40567
645319595	186116
343198589	264641
343200681	363885
219846679	36740
343202256	395599
631251062	58343
636560798	645517
645320168	742054
265678682	200450
631251117	1911
636560115	481139
343201357	264697
631251613	555371
631251662	355548
470466243	2214
631252313	370324
343202977	332340
636560550	570276
343200959	478108
636560768	630520
444439497	158327
343201050	103732
559795127	55197
219846911	56957
566084923	598644
343202268	1123502
636559816	399943
444439610	359787
636560344	551990
645322191	1280
636560503	563163
566085505	1144748
631251246	58354
645319834	90241
631251341	1307942
636560187	472705
219878365	173364
444304034	2061
219846149	228574
343201238	69666
219878441	217031
636559324	66879
636559467	1467
219846768	1161098
343206333	85698
470467185	1538
343205813	435905
265679029	57732
631251123	28044
645321499	1265685
631250780	1123291
631252217	795797
566084865	563162
343206200	47958
659365280	663
636560129	119858
343203134	351224
631251819	558529
631252378	81475
343201336	614
631253196	40542
343201560	283816
645320405	1133364
645321120	178901
631250991	200413
343205799	433648
343198571	184077
645320337	316277
645322267	670
631251581	1150460
343200845	405436
219846513	29367
343198516	1309
806984337	76887
343200168	1542
444439453	52765
672239020	1126240
645320483	287
265678473	147047
224581408	221027
636558751	49283
566084784	765197
699005385	1241978
672238872	1246864
219878434	212659
699005360	1073196
343198522	1308
559795255	745368
631252348	1236501
645320222	34010
631251840	1383
566085020	659351
343200813	462367
636560769	324079
645321755	993502
265678922	1520
631251841	102148
645321154	265959
343202819	321268
631251871	477666
310975094	42421
343200241	54
219857268	85402
636559168	497964
559795106	698418
703624745	1350067
636559919	419481
444304022	881
343200117	40324
343206304	85075
485099089	97084
558508594	564413
343204294	370439
343200699	364030
343200569	299146
310975188	198
219857362	930166
343201760	367456
343202637	33940
219878180	69395
636558935	983
219878189	82988
645322545	69368
566085554	1185415
636558455	129962
636558669	1309
265678617	128944
343203082	343403
566085399	1052259
265678946	28171
645320137	543527
265678779	227942
636558651	293
645320790	1079
631253235	70611
645321371	393030
636560411	1220578
631252507	1010
343201039	1022
559795302	449
631252191	135080
219846447	51616
343201286	113561
631251799	676202
566085260	914151
636559365	66869
343202755	300193
631252425	64973
631251265	39478
566085309	986710
631251691	619731
219857642	187982
636558508	70799
559795332	41202
265678398	81942
343205805	1122609
219857130	92487
631251904	1236509
343198851	440079
566085132	1090615
672239046	1472345
636560068	28320
631251137	67363
343201777	373668
343201435	217495
343201151	1822
659365212	663
636558778	67304
343200892	429341
631251359	554
343198592	267854
343200174	1867
219846429	1504
254971268	179637
343201515	267363
631253233	35622
219846883	83769
444439665	29466
645321829	81460
631253194	1544
265678925	1459
645321502	41986
699005451	1464011
631251673	29288
636558644	56107
224581409	200254
444439649	208596
636559532	1465
645321672	1329516
219878391	225992
566085337	998845
219857443	746697
645321536	986
645320946	948458
343201544	1751
631252863	392597
485099084	42422
631252922	82367
343203013	337895
566085318	980239
444303959	406818
645320396	227866
631250894	390874
343201708	347483
636558787	83526
343202649	280240
219846525	453
449372155	13373
343198746	338884
631251918	28133
636560585	633440
265678407	77777
343203086	32021
631251081	1914
566085240	907463
645321343	1778
631251699	742817
444439483	70863
645321940	42421
507148131	415426
631251483	442868
631252367	33032
636560316	1122941
343202650	280332
219857604	173040
631252696	39645
631251048	66378
645321795	35793
343202419	512382
343202594	265477
343200147	60454
343200665	359209
343202324	427333
631252776	176598
645322557	1005996
343206280	1274
219857617	180286
526641948	216933
558508596	589240
219846852	47763
645320579	546
219878308	60520
645320326	755309
695189598	29505
343198739	694434
636560054	470932
343202731	309886
343202760	301541
559795348	89402
566085189	862415
254971236	71280
631251200	1967
219878402	67576
343198808	285548
631250923	67274
343198791	359303
343200788	392016
636560686	1437612
343200243	158822
219846659	42055
636559131	187311
636560635	617000
645320863	1045764
636558962	404881
631252175	676202
265678675	192389
566085061	886292
219878296	140314
672238983	876478
636559651	1121302
343199002	444093
219878345	163665
343202952	77008
470466633	39766
343200682	363846
265678698	222805
343202260	397258
645320082	747645
631252148	28090
631252581	29570
219878133	52764
219878201	82995
631252254	660521
343205549	392723
566085269	930117
224581444	257454
558508621	686389
343202824	321982
636560489	600331
444303799	192952
